codigo,especialidad
TPP,TECNICO SUPERIOR EN PESCA CONTINENTAL Y PISCICULTURA
TSP,TECNICO SUPERIOR EN PETROLEO
TPR,TECNICO SUPERIOR EN PLANIFICACION Y ADMINISTRACION. DE EMPRESAS AGROPECUARIA
TPV,TECNICO SUPERIOR EN POLICIA PREVENTIVA
TPL,TECNICO SUPERIOR EN POLIMEROS
TPF,TECNICO SUPERIOR EN PROCESOS DE REFINACION DE PETROLEO
TQC,TECNICO SUPERIOR EN PROCESOS QUIMICOS MENCION TECNOLOGIA Y DISEÑO
TRO,TECNICO SUPERIOR EN PRODUCCION AGROPECUARIA
TIA,TECNICO SUPERIOR EN PRODUCCION INDUSTRIAL
TPS,TECNICO SUPERIOR EN PRODUCCION Y SUPERVISION INDUSTRIAL
TCC,TECNICO SUPERIOR EN PROTECCION Y SEGURIDAD INDUSTRIAL
TSG,TECNICO SUPERIOR EN PSICOPEDAGOGIA
TPM,TECNICO SUPERIOR EN PUBLICIDAD Y MERCADEO
TPR,TECNICO SUPERIOR EN PUBLICIDAD Y RELACIONES PUBLICAS
TSQ,TECNICO SUPERIOR EN QUIMICA
TSR,TECNICO SUPERIOR EN RADIODIAGNOSTICO
TRA,TECNICO SUPERIOR EN RADIOLOGIA
TRE,TECNICO SUPERIOR EN RECREACION
TRD,TECNICO SUPERIOR EN RELACIONES INDUSTRIALES
TUB,TECNICO SUPERIOR EN RELACIONES PUBLICAS
TRS,TECNICO SUPERIOR EN RIESGOS Y SEGURO
TBU,TECNICO SUPERIOR EN SALUD BUCAL: HIGIENE BUCAL
TBM,TECNICO SUPERIOR EN SALUD BUCAL: MECANICA DENTAL
CRE,TECNICO SUPERIOR EN SECRETARIA
CRA,TECNICO SUPERIOR EN SECRETARIADO ADMINISTRATIVO
HIG,TECNICO SUPERIOR EN SEGURIDAD E HIGIENE INDUSTRIAL
UST,TECNICO SUPERIOR EN SEGURIDAD INDUSTRIAL
EGU,TECNICO SUPERIOR EN SEGUROS
OSP,TECNICO SUPERIOR EN SERVICIOS DE LA HOSPITALIDAD
USR,TECNICO SUPERIOR EN SERVICIOS INDUSTRIALES
IST,TECNICO SUPERIOR EN SISTEMAS DE INFORMACION
INI,TECNICO SUPERIOR EN TECNOLOGIA ADMINISTRATIVA
RIC,TECNICO SUPERIOR EN TECNOLOGIA AGRICOLA
GRO,TECNICO SUPERIOR EN TECNOLOGIA AGROPECUARIA
GIA,TECNICO SUPERIOR EN TECNOLOGIA AMBIENTAL
UTO,TECNICO SUPERIOR EN TECNOLOGIA AUTOMOTRIZ
UPE,TECNICO SUPERIOR EN TECNOLOGIA DE ALIMENTOS
ERV,TECNICO SUPERIOR EN TECNOLOGIA DE CONSERVACION DE LOS RECURSOS NATURALES RENOVABLES
GAS,TECNICO SUPERIOR EN TECNOLOGIA DE GAS
INC,TECNICO SUPERIOR EN TECNOLOGIA DE INCENDIOS
UCC,TECNICO SUPERIOR EN TECNOLOGIA DE LA CONSTRUCCION CIVIL
ERI,TECNICO SUPERIOR EN TECNOLOGIA DE LOS MATERIALES
IEN,TECNICO SUPERIOR EN TECNOLOGIA DE MANTENIMIENTO
OVA,TECNICO SUPERIOR EN TECNOLOGIA DE RECURSOS NATURALES RENOVABLES
ECT,TECNICO SUPERIOR EN TECNOLOGIA ELECTRICA
ONI,TECNICO SUPERIOR EN TECNOLOGIA ELECTRONICA
INS,TECNICO SUPERIOR EN TECNOLOGIA INSTRUMENTISTA
ERM,TECNICO SUPERIOR EN TECNOLOGIA MECANICA TERMICA
URG,TECNICO SUPERIOR EN TECNOLOGIA METALURGICA
INR,TECNICO SUPERIOR EN TECNOLOGIA MINERA
NVA,TECNICO SUPERIOR EN TECNOLOGIA NAVAL
ECU,TECNICO SUPERIOR EN TECNOLOGIA PECUARIA
RLE,TECNICO SUPERIOR EN TECNOLOGIA PETROLERA
IOI,TECNICO SUPERIOR EN TECNOLOGIA RADIOLOGICA MEDICA
EXL,TECNICO SUPERIOR EN TECNOLOGIA TEXTIL
UGJ,TECNICO SUPERIOR EN TERAPIA DEL LENGUAJE
OGR,TECNICO SUPERIOR EN TOPOGRAFIA
OSC,TECNICO SUPERIOR EN TRABAJO SOCIAL
OHR,TECNICO SUPERIOR EN TURISMO Y HOTELERIA
VEN,TECNICO SUPERIOR EN VENTAS
MEN,TECNICO SUPERIOR ESPECIALISTA EN RETARDO MENTAL Y DIFICULTADES DEL APRENDIZAJE
PNI,TECNICO SUPERIOR PENITENCIARIO
ONT,TECNICO SUPERIOR  CONTADOR GENERAL
COS,TECNICO SUPERIOR  DE REDES Y COMUNICACIONES
UDA,TECNICO SUPERIOR EN ADMINISTRACION
NAS,TECNICO SUPERIOR EN ADMINISTRACION DE ADUANAS
RDE,TECNICO SUPERIOR EN ADMINISTRACION DE COMPRAS
JUY,TECNICO SUPERIOR EN ADMINISTRACION DE RIESGOS Y SEGUROS
VNN,TECNICO SUPERIOR EN ADMINISTRACION DE VENTAS
FIC,TECNICO SUPERIOR EN ADMINISTRACION EN INFORMATICA
RGG,TECNICO SUPERIOR EN ADMINISTRACION. DE EMPRESAS AGROPECUARIAS
OST,TECNICO SUPERIOR EN ADMINISTRACION: COSTOS
ERE,TECNICO SUPERIOR EN ADMINISTRACION: MERCADEO
BAT,TECNICO SUPERIOR EN ADMINISTRACION: SISTEMAS ADMINISTRATIVOS Y CONTABLES
CNI,TECNICO SUPERIOR EN AGROTECNIA
EVI,TECNICO SUPERIOR EN ARTES AUDIOVISUALES MENCION TELEVISION
IAS,TECNICO SUPERIOR EN CIENCIAS ADMINISTRATIVAS
ROP,TECNICO SUPERIOR EN CIENCIAS AGROPECUARIAS
ISC,TECNICO SUPERIOR EN CIENCIAS FISCALES
BIL,TECNICO SUPERIOR EN CONTABILIDAD
EPE,TECNICO SUPERIOR EN EDUCACION ESPECIAL
