codigo,carrera_universitaria
318,Administración Mención Aduanas 
319,Ciencias Fiscales 
320,Asistencia Especializada 
321,Ciencias Penales y Criminalísticas (Técnica) 
322,Ciencias Políticas 
323,Criminología 
324,Derecho 
325,Derecho Canónico 
326,Estudios Internacionales 
327,Estudios Políticos y Administrativos 
328,Estudios Liberales 
329,Estudios Jurídicos 
330,Estudios Políticos y Gobierno 
331,Estudios Políticos 
332,Ciencias Forenses 
333,Economía Política 
334,Administración Mención Riesgos y Seguros (Técnica) 
335,Administración Mención Seguros Mercantiles 
336,Riesgos y Seguros 
337,Seguros 
338,Tecnología en Estadística 
339,Administración de Empresas: Riesgos y Seguros 
340,Ciencias Actuariales 
341,Ciencias Estadísticas 
342,Estadística 
343,Administración de Desastres 
344,Administración de Compras 
345,Administración de Ventas 
346,Administración: Mercadeo (Técnica) 
347,Administración: Mercadotecnia 
348,Mercadotecnia 
349,Publicidad (Técnica) 
350,Publicidad y Mercadeo (Técnica) 
351,Publicidad y Relaciones Públicas (Técnica) 
352,Ventas 
353,Mercadeo (Técnica) 
354,Mercadeo Mención Publicidad 
355,Administración de Empresas de Diseño 
356,Administración Mención Mercadeo 
357,Mercadeo 
358,Publicidad 
359,Publicidad y Relaciones Públicas 
360,Relaciones Públicas (Técnica) 
361,Trabajo Social (Técnica) 
362,"Prevención, Orientación y Acción Social "
363,Terapia Psicosocial (Técnica) 
364,Administración Mención Programas Sociales 
365,Terapia Psicosocial 
366,Antropología 
367,Comunicación Social 
368,Geografía 
369,Planificación 
370,Psicología 
371,Sociología 
372,Trabajo Social 
373,Gestión Social del Desarrollo Local 
374,Relaciones Públicas (Licenciatura) 
375,Desarrollo Humano 
376,Antropología Mención Antropología Social y Cultural 
377,Comunicación 
378,Administración de Empresas Hoteleras (Técnica) 
379,Administración del Turismo (Técnica) 
380,Administración Hotelera 
381,Empresas Turísticas 
382,Gerencia Hotelera 
383,Gestión Hotelera 
384,Hotelería y Servicios de la Hospitalidad 
385,Recreación 
386,Servicios de la Hospitalidad 
387,Turismo (Técnica) 
388,Administración de Empresas Turísticas (Técnica) 
389,Hotelería (Técnica) 
390,Turismo y Hotelería 
391,Gestión Hotelera y Turística 
392,Ecoturismo 
393,Empresas y Alojamiento Turístico 
394,Administración de Empresas Turísticas 
395,Hotelería 
396,Turismo 
397,Gestión de la Hospitalidad 
398,Artes Audiovisuales Mención Televisión (Técnica) 
399,Ciencias Audiovisuales y Fotografía 
400,Artes Audiovisuales (Técnica) 
401,Artes 
402,Artes Mención Diseño Gráfico 
403,Artes Mención Museología 
404,Artes Plásticas 
405,Artes Visuales 
406,Historia de Las Artes Plásticas y Museología 
407,Medios Audiovisuales 
408,Música 
409,Música Mención Musicología 
410,Actuación 
411,Artes Escénicas Mención Danza 
412,Artes Mención Música 
413,Conservación y Restauración de Bienes Culturales Muebles 
414,Filosofía
415,Teología
416,Bibliotecología y Archivología 
417,Historia 
418,Información y Documentación
419,Idiomas Mención Inglés 
420,Idiomas Modernos (Técnica) 
421,Idiomas Modernos 
422,Letras 
423,Letras Hispánicas 
424,Letras Mención Historia del Arte 
425,Letras Mención Lengua y Literaturas Clásicas 
426,Letras Mención Lengua y Literatura Hispanoamericana y Venezolana 
427,Idiomas Modernos mencion Inglés 
428,Ciencias Navales 
429,Ciencias y Artes Militares Opción Aeronáutica 
430,Ciencias y Artes Militares Opción Terrestre 
431,Ciencias y Artes Militares (según Mención) 
432,Ciencias y Artes Militares Opción Guardia Nacional Bolivariana 
